relative_year,coef,lower_ci,upper_ci
-7,-7577.891584130921,-14345.498207871795,-810.2849603900477
-6,4.1616417132262096e-11,2.883213872093263e-11,5.4400695543591564e-11
-5,8520.808852687955,3921.7888434250626,13119.828861950846
-4,8807.781009040824,3760.8114078610024,13854.750610220646
-3,5734.330963761624,2876.2666401088327,8592.395287414416
-2,4617.705487515661,858.831204214272,8376.57977081705
-1,0.0,0.0,0.0
0,2912.672516086597,-7201.418783177975,13026.763815351169
1,2801.277252511296,-4241.175806616993,9843.730311639585
2,5523.495891187784,-3867.2343921726824,14914.22617454825
3,11660.112853977771,1914.644729634705,21405.58097832084
4,10618.704066108905,-2008.4223526675996,23245.83048488541
5,8793.550622632827,-3270.145107407214,20857.246352672868
6,8889.943753925596,-6401.464266998839,24181.35177485003
7,11664.6533329477,-14433.591782394824,37762.89844829022
