Year,Actual,Synthetic
2013,57.12518150387385,55.418147311685935
2014,61.588746899460645,60.00680639614658
2015,61.25173554177715,60.26518075167235
2016,58.70849190938409,60.13751585502388
2017,59.073036588943516,61.919542048273016
2018,70.60708816325943,70.42748631756423
2019,70.40520510796394,72.32042788283134
2020,76.01371112004162,78.84111584675536
2021,86.7606913047675,86.63577684613321
2022,98.75030834863728,102.03629052447222
2023,104.31334217835496,106.48152489733046
2024,109.5058442373469,113.02749623724434
2025,110.16525,103.8120239045906
